,egf,y27632,n_acetyl_cysteine,a83_01,sb202190,fgf2,cholera_toxin
APC_vaf,0.0007863551997054179,0.02911483770935513,0.004914100816355952,0.004914100816355952,0.2000726215378836,0.12849514048604763,0.0
wnt_pathway_max_vaf,0.0008822562768383202,0.027378102269203272,0.015746028838214802,0.015746028838214802,0.037049227280527834,0.047329949402012135,0.0
RYR2_vaf,0.001726461873546249,0.012425969313981013,0.028369360625932923,0.028369360625932923,0.0,0.0,0.0
FLG_vaf,0.0004554818178097021,0.007383309788613724,0.008796864794742905,0.008796864794742905,0.0018176758054474628,0.0,0.03427170395267172
TP53_vaf,1.3711976014165816e-17,0.010517142501018444,0.021248237661734764,0.021248237661734764,0.0,0.0021464164353138934,0.0
p53_pathway_max_vaf,0.00017225721420703415,0.02742671384606143,0.009067123774758877,0.009067123774758877,0.0011057580551192456,0.0039190389738220895,5.737143837360926e-17
DNAH5_vaf,0.0015339525069839,0.009864929993460166,0.008289924626065537,0.008289924626065537,0.021662262730575803,0.0,0.0
CCDC168_vaf,0.0001589463705477061,0.0,0.0019570549670502257,0.0019570549670502257,0.0,0.0012547081615544747,0.043908792548220825
ras_pathway_max_vaf,1.5687991892944393e-16,0.00939339903391229,0.010769603257167663,0.010769603257167663,0.017410412747258144,0.0007561147136778861,0.0
RYR1_vaf,4.654558970101731e-05,0.005686327058598544,0.010160243274196198,0.010160243274196198,0.0005165514854426193,0.020844760441274854,0.0
chromatin_remodeling_max_vaf,0.0,0.0018413216383864,0.013130767082255086,0.013130767082255086,0.016893120604890045,0.0,0.0
ZFHX4_vaf,5.6215197140930496e-05,0.009376693369259021,0.01180891574634167,0.01180891574634167,0.005152698076982284,0.0,0.003141931923560312
FAT4_vaf,0.0,0.007669647584576449,0.011435708734251643,0.011435708734251643,0.008494888954418436,0.0,0.0
ARID1A_vaf,0.0,0.01800296615965782,0.006052318277551549,0.006052318277551549,0.007119907373997959,0.0002020203431847862,0.0
CSMD3_vaf,0.001272210351179302,0.010784804044185959,0.002732327732135897,0.002732327732135897,0.008589621489218395,0.0,0.009432035519540884
OBSCN_vaf,0.0009839412716619172,0.0057214640754963955,0.01139182274978381,0.01139182274978381,0.0,0.0,0.0
PLEC_vaf,0.00013207436569982262,0.00690829599010385,0.009904105262070514,0.009904105262070514,0.00041171462670420365,0.0,0.0
KRAS_vaf,0.0,0.0073241451486976625,0.00535353440447808,0.00535353440447808,0.003035469750399328,0.005266682753356803,0.0
MUC16_vaf,0.000272197923647428,0.005141717088239375,0.004796283417672457,0.004796283417672457,0.0,0.004788163014794129,0.005836906554015634
SYNE1_vaf,0.001040749982583963,0.003813357882961978,0.004981657394214887,0.004981657394214887,0.006778664534607034,0.0011786377300099422,0.0
